,band_combo,banded,bird,get_banded_display,get_life_stage_guess_display,get_sex_guess_display,id,life_stage_guess,revisit,sex_guess,sighting,sighting__date_sighted,sighting__point_location,sighting__time_sighted
31,,unbanded,,Not banded,Juvenile,,8547,juvenile,False,,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
32,,unbanded,,Not banded,Juvenile,,8545,juvenile,False,,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
33,,unknown,,Couldn't tell,,,8523,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
34,,unknown,,Couldn't tell,,,8511,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
35,Black 1 on light blue,readable,,"Banded, readable",,,8510,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
36,,unknown,,Couldn't tell,,,8519,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
37,,unknown,,Couldn't tell,,,8524,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
38,,unknown,,Couldn't tell,,,8514,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
39,,unknown,,Couldn't tell,,,8516,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
40,,unknown,,Couldn't tell,,,8518,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
41,,unknown,,Couldn't tell,,,8521,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
42,,unknown,,Couldn't tell,,,8515,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
43,,unbanded,,Not banded,,,8512,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
44,,unknown,,Couldn't tell,,,8513,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
45,,unknown,,Couldn't tell,,,8520,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
46,,unknown,,Couldn't tell,,,8522,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
47,,unknown,,Couldn't tell,,,8517,,False,,4075,2019-09-18,"{'type': 'Point', 'coordinates': [167.61919779227918, -45.38521608819232]}",08:06:00
48,,unknown,,Couldn't tell,,,8508,,False,,4074,2019-09-18,"{'type': 'Point', 'coordinates': [173.0016221700575, -41.03780475468731]}",07:28:00
49,,unknown,,Couldn't tell,,,8509,,False,,4074,2019-09-18,"{'type': 'Point', 'coordinates': [173.0016221700575, -41.03780475468731]}",07:28:00
50,,unbanded,,Not banded,Fledgling,,8527,fledgling,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
51,,unbanded,,Not banded,Juvenile,,8533,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
52,,unbanded,,Not banded,Fledgling,,8529,fledgling,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
53,,unbanded,,Not banded,Sub-Adult,,8537,sub-adult,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
54,,unbanded,,Not banded,Fledgling,,8526,fledgling,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
55,,unbanded,,Not banded,Juvenile,,8530,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
56,,unbanded,,Not banded,Juvenile,,8531,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
57,,unbanded,,Not banded,Fledgling,,8528,fledgling,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
58,,unbanded,,Not banded,,,8542,,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
59,,unbanded,,Not banded,Juvenile,,8535,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
60,,unbanded,,Not banded,Juvenile,,8534,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
61,,unbanded,,Not banded,,,8538,,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
62,,unbanded,,Not banded,,,8539,,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
63,,unbanded,,Not banded,,,8540,,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
64,,unbanded,,Not banded,,,8541,,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
65,,unbanded,,Not banded,Juvenile,,8532,juvenile,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
66,,unbanded,,Not banded,Sub-Adult,,8536,sub-adult,False,,4077,2019-09-17,"{'type': 'Point', 'coordinates': [168.19926108710052, -44.7259868982838]}",10:30:00
67,,unreadable,,"Banded, unreadable",,,8499,,False,,4068,2019-09-17,"{'type': 'Point', 'coordinates': [167.95159468590634, -44.68048934162057]}",07:30:00
68,Blue A6,readable,,"Banded, readable",,Male,8503,,False,male,4071,2019-09-16,"{'type': 'Point', 'coordinates': [167.9370869902811, -44.67758760695922]}",06:45:00
69,,unbanded,,Not banded,,,8474,,False,,4053,2019-09-15,"{'type': 'Point', 'coordinates': [167.65883483365496, -45.405547295901954]}",14:42:00
70,,unbanded,,Not banded,,,8475,,False,,4053,2019-09-15,"{'type': 'Point', 'coordinates': [167.65883483365496, -45.405547295901954]}",14:42:00
71,,unbanded,,Not banded,,,8476,,False,,4053,2019-09-15,"{'type': 'Point', 'coordinates': [167.65883483365496, -45.405547295901954]}",14:42:00
72,Black E on Green,readable,,"Banded, readable",Adult,,8456,adult,False,,4043,2019-09-15,"{'type': 'Point', 'coordinates': [167.95169612378373, -44.72050510703026]}",12:30:00
73,Black H on light blue,readable,,"Banded, readable",Adult,Male,8454,adult,False,male,4040,2019-09-15,"{'type': 'Point', 'coordinates': [171.5621130330739, -42.93973040695529]}",10:48:00
74,,unknown,,Couldn't tell,,,8484,,False,,4056,2019-09-15,"{'type': 'Point', 'coordinates': [167.19178618879346, -45.50655239749671]}",10:30:00
75,,unknown,,Couldn't tell,,,8483,,False,,4056,2019-09-15,"{'type': 'Point', 'coordinates': [167.19178618879346, -45.50655239749671]}",10:30:00
76,Black H on Light Blue,readable,"{'slug': 'jesse', 'status': 'Alive', 'sex': 'Male', 'bird_extended': {'description': ""Jesse can often be found investigating Deaths Corner or Candy's Bend.\r\n\r\nFor a long time he sported 'old style' metal bands which lost most of their colour—you could often make out the number on his metal band (V-0026) or small amounts of colour in the original orange bands.\r\n\r\nIn August 2018 he was rebanded with brand new bright plastic bands.\r\n\r\nWe think Jesse is at least 9 years old."", 'is_featured': False, 'sponsor_name': None, 'sponsor_website': None, 'profile_picture': {'large': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-500x500-70.jpg', 'thumbnail': 'https://media.keadatabase.nz/media/__sized__/birds/jesse/2017-03-16_10.22.22-crop-c0-5__0-5-350x250-70.jpg', 'full_size': 'https://media.keadatabase.nz/media/birds/jesse/2017-03-16_10.22.22.jpg'}, 'profile_picture_attribution': 'Martina Scheistl'}, 'get_age': 9, 'get_life_stage': 'Adult', 'study_area': 'Waimakariri', 'band_combo': 'Black H on Light Blue', 'name': 'Jesse', 'birthday': '2010-01-01', 'primary_band': 'V-0026', 'date_modified': '2018-04-04T11:00:32.202093+12:00', 'date_imported': '2017-06-28T00:21:23.326995+12:00'}","Banded, readable",,,8461,,False,,4039,2019-09-15,"{'type': 'Point', 'coordinates': [171.56015203981298, -42.936842315598724]}",10:30:00
77,,unknown,,Couldn't tell,,,8505,,False,,4072,2019-09-15,"{'type': 'Point', 'coordinates': [171.70358872942825, -43.20262118945464]}",09:15:00
78,,unknown,,Couldn't tell,,,8506,,False,,4072,2019-09-15,"{'type': 'Point', 'coordinates': [171.70358872942825, -43.20262118945464]}",09:15:00
79,,unknown,,Couldn't tell,,,8504,,False,,4072,2019-09-15,"{'type': 'Point', 'coordinates': [171.70358872942825, -43.20262118945464]}",09:15:00
80,,unknown,,Couldn't tell,Adult,,8550,adult,False,,4080,2019-09-15,"{'type': 'Point', 'coordinates': [170.18267169102086, -43.531057220365135]}",07:00:00
81,Blue A6,readable,,"Banded, readable",Juvenile,,8455,juvenile,False,,4041,2019-09-15,"{'type': 'Point', 'coordinates': [167.93822319527186, -44.67754853539279]}",07:00:00
82,,unbanded,,Not banded,,,8466,,False,,4049,2019-09-14,"{'type': 'Point', 'coordinates': [167.61923023924453, -45.38555805443549]}",20:30:00
83,,unbanded,,Not banded,Juvenile,,8463,juvenile,False,,4049,2019-09-14,"{'type': 'Point', 'coordinates': [167.61923023924453, -45.38555805443549]}",20:30:00
84,,unbanded,,Not banded,,,8465,,False,,4049,2019-09-14,"{'type': 'Point', 'coordinates': [167.61923023924453, -45.38555805443549]}",20:30:00
85,,unbanded,,Not banded,Juvenile,,8464,juvenile,False,,4049,2019-09-14,"{'type': 'Point', 'coordinates': [167.61923023924453, -45.38555805443549]}",20:30:00
86,White on blue,readable,,"Banded, readable",Juvenile,,8459,juvenile,False,,4046,2019-09-14,"{'type': 'Point', 'coordinates': [167.93850920916174, -44.67718223347154]}",20:00:00
87,,unknown,,Couldn't tell,,,8495,,False,,4063,2019-09-14,"{'type': 'Point', 'coordinates': [168.94345671231338, -44.559966596196155]}",14:00:00
88,,unknown,,Couldn't tell,,,8496,,False,,4063,2019-09-14,"{'type': 'Point', 'coordinates': [168.94345671231338, -44.559966596196155]}",14:00:00
89,,unknown,,Couldn't tell,,,8497,,False,,4063,2019-09-14,"{'type': 'Point', 'coordinates': [168.94345671231338, -44.559966596196155]}",14:00:00
90,,readable,,"Banded, readable",,,8485,,False,,4057,2019-09-14,"{'type': 'Point', 'coordinates': [167.95099012799147, -44.72127106330059]}",13:30:00
91,,readable,,"Banded, readable",,,8486,,False,,4057,2019-09-14,"{'type': 'Point', 'coordinates': [167.95099012799147, -44.72127106330059]}",13:30:00
92,Black q on green,readable,,"Banded, readable",Juvenile,,8449,juvenile,False,,4034,2019-09-14,"{'type': 'Point', 'coordinates': [168.02172310779684, -44.800090323008504]}",11:30:00
93,,unreadable,,"Banded, unreadable",,,8471,,False,,4051,2019-09-14,"{'type': 'Point', 'coordinates': [171.56122855681997, -42.8510586710663]}",11:30:00
94,Yellow U on black band,readable,,"Banded, readable",Sub-Adult,Male,8450,sub-adult,False,male,4035,2019-09-14,"{'type': 'Point', 'coordinates': [168.0213331661634, -44.800099048243446]}",11:30:00
95,Yellow A on black band,readable,,"Banded, readable",Juvenile,,8451,juvenile,False,,4036,2019-09-14,"{'type': 'Point', 'coordinates': [168.02208183192027, -44.80035029888424]}",11:30:00
96,White 5 on red band,readable,,"Banded, readable",,,8470,,False,,4051,2019-09-14,"{'type': 'Point', 'coordinates': [171.56122855681997, -42.8510586710663]}",11:30:00
97,,unbanded,,Not banded,Fledgling,,8452,fledgling,False,,4037,2019-09-14,"{'type': 'Point', 'coordinates': [168.02165719408674, -44.799915304779184]}",11:30:00
98,Black E on green,readable,,"Banded, readable",Adult,Female,8448,adult,False,female,4033,2019-09-13,"{'type': 'Point', 'coordinates': [167.95166126660195, -44.720465121001965]}",14:00:00
99,Red 6 on White  Romeo,readable,,"Banded, readable",Adult,Male,8434,adult,False,male,4025,2019-09-12,"{'type': 'Point', 'coordinates': [168.02064138603822, -44.800266934561435]}",16:37:00
100,Red 6 on White  Romeo,readable,,"Banded, readable",Adult,Male,8434,adult,False,male,4025,2019-09-12,"{'type': 'Point', 'coordinates': [168.02064138603822, -44.800266934561435]}",16:37:00
101,A7 White on Red Athol,readable,,"Banded, readable",Fledgling,Male,8417,fledgling,False,male,4021,2019-09-12,"{'type': 'Point', 'coordinates': [168.02152551541116, -44.800824319753396]}",16:13:00
102,,unbanded,,Not banded,Juvenile,,8441,juvenile,False,,4029,2019-09-12,"{'type': 'Point', 'coordinates': [171.70318415911117, -43.11657147918861]}",09:30:00
103,,unbanded,,Not banded,Adult,,8439,adult,False,,4029,2019-09-12,"{'type': 'Point', 'coordinates': [171.70318415911117, -43.11657147918861]}",09:30:00
104,,unbanded,,Not banded,Juvenile,,8440,juvenile,False,,4029,2019-09-12,"{'type': 'Point', 'coordinates': [171.70318415911117, -43.11657147918861]}",09:30:00
105,Black AF on white,readable,,"Banded, readable",,,8552,,False,,4082,2019-09-11,"{'type': 'Point', 'coordinates': [168.81485936973553, -45.054002616834474]}",17:15:00
106,,unknown,,Couldn't tell,,,8555,,False,,4082,2019-09-11,"{'type': 'Point', 'coordinates': [168.81485936973553, -45.054002616834474]}",17:15:00
107,White on green. Possibly an 8?,readable,,"Banded, readable",,,8553,,False,,4082,2019-09-11,"{'type': 'Point', 'coordinates': [168.81485936973553, -45.054002616834474]}",17:15:00
108,,unknown,,Couldn't tell,,,8554,,False,,4082,2019-09-11,"{'type': 'Point', 'coordinates': [168.81485936973553, -45.054002616834474]}",17:15:00
109,,unbanded,,Not banded,,,8472,,False,,4052,2019-09-11,"{'type': 'Point', 'coordinates': [167.94899222953296, -44.721677913110476]}",17:00:00
110,,unbanded,,Not banded,,,8473,,False,,4052,2019-09-11,"{'type': 'Point', 'coordinates': [167.94899222953296, -44.721677913110476]}",17:00:00
111,,unbanded,,Not banded,,,8502,,False,,4070,2019-09-11,"{'type': 'Point', 'coordinates': [167.97355194444634, -44.762636788758066]}",16:30:00
112,,unbanded,,Not banded,,,8460,,False,,4047,2019-09-11,"{'type': 'Point', 'coordinates': [168.9048585025787, -44.62395980674653]}",15:00:00
113,White 6 on Blue,readable,,"Banded, readable",,,8436,,False,,4026,2019-09-11,"{'type': 'Point', 'coordinates': [167.95188081334737, -44.720299494674954]}",13:30:00
114,Black P on White,readable,,"Banded, readable",,,8435,,False,,4026,2019-09-11,"{'type': 'Point', 'coordinates': [167.95188081334737, -44.720299494674954]}",13:30:00
115,White V on Red,readable,,"Banded, readable",,,8437,,False,,4026,2019-09-11,"{'type': 'Point', 'coordinates': [167.95188081334737, -44.720299494674954]}",13:30:00
116,,unbanded,,Not banded,Juvenile,,8458,juvenile,False,,4045,2019-09-11,"{'type': 'Point', 'coordinates': [167.93806457970283, -44.67761558615586]}",10:45:00
117,,unbanded,,Not banded,,,8394,,False,,4012,2019-09-11,"{'type': 'Point', 'coordinates': [171.0707970503475, -42.89748174090524]}",10:41:00
118,White 5 on Brown (Clarence),readable,,"Banded, readable",,,8443,,False,,4031,2019-09-11,"{'type': 'Point', 'coordinates': [171.5761050713487, -42.9089212659989]}",09:04:00
119,White AA on Green.,readable,,"Banded, readable",Adult,Male,8457,adult,False,male,4044,2019-09-11,"{'type': 'Point', 'coordinates': [167.938064579588, -44.67743410749781]}",07:00:00
120,,unbanded,,Not banded,Adult,,8498,adult,False,,4065,2019-09-10,"{'type': 'Point', 'coordinates': [167.9729098327182, -44.762682791540755]}",17:15:00
121,,unbanded,,Not banded,Adult,,8469,adult,False,,4050,2019-09-10,"{'type': 'Point', 'coordinates': [167.97302743137675, -44.76276266355545]}",14:15:00
122,Green Band black Y,readable,,"Banded, readable",Juvenile,,8467,juvenile,False,,4050,2019-09-10,"{'type': 'Point', 'coordinates': [167.97302743137675, -44.76276266355545]}",14:15:00
123,,unbanded,,Not banded,Juvenile,,8468,juvenile,False,,4050,2019-09-10,"{'type': 'Point', 'coordinates': [167.97302743137675, -44.76276266355545]}",14:15:00
124,,unbanded,,Not banded,Juvenile,,8430,juvenile,False,,4023,2019-09-10,"{'type': 'Point', 'coordinates': [171.53607588573482, -42.91084142889116]}",11:00:00
125,,unbanded,,Not banded,Juvenile,,8432,juvenile,False,,4023,2019-09-10,"{'type': 'Point', 'coordinates': [171.53607588573482, -42.91084142889116]}",11:00:00
126,,unbanded,,Not banded,Juvenile,,8431,juvenile,False,,4023,2019-09-10,"{'type': 'Point', 'coordinates': [171.53607588573482, -42.91084142889116]}",11:00:00
127,,unbanded,,Not banded,,,8438,,False,,4028,2019-09-10,"{'type': 'Point', 'coordinates': [172.90660468059082, -41.392853042970195]}",10:00:00
128,AA on yellow,readable,,"Banded, readable",Adult,,8387,adult,False,,4009,2019-09-10,"{'type': 'Point', 'coordinates': [167.9368916373893, -44.67707810295257]}",08:30:00
129,,unbanded,,Not banded,,,8423,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
130,,unbanded,,Not banded,,,8418,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
131,,unbanded,,Not banded,,,8420,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
132,,unbanded,,Not banded,,,8419,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
133,,unbanded,,Not banded,,,8422,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
134,,unbanded,,Not banded,,,8429,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
135,,unbanded,,Not banded,,,8428,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
136,,unbanded,,Not banded,,,8426,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
137,,unbanded,,Not banded,,,8427,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
138,,unbanded,,Not banded,,,8421,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
139,,unbanded,,Not banded,,,8424,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
140,,unbanded,,Not banded,,,8425,,False,,4022,2019-09-10,"{'type': 'Point', 'coordinates': [168.2003672813671, -44.72587541796648]}",07:00:00
141,,unknown,,Couldn't tell,,,8444,,False,,4032,2019-09-10,"{'type': 'Point', 'coordinates': [169.42360058850988, -44.08894073094383]}",03:21:00
142,,unknown,,Couldn't tell,,,8445,,False,,4032,2019-09-10,"{'type': 'Point', 'coordinates': [169.42360058850988, -44.08894073094383]}",03:21:00
143,,unknown,,Couldn't tell,,,8446,,False,,4032,2019-09-10,"{'type': 'Point', 'coordinates': [169.42360058850988, -44.08894073094383]}",03:21:00
144,,unknown,,Couldn't tell,,,8447,,False,,4032,2019-09-10,"{'type': 'Point', 'coordinates': [169.42360058850988, -44.08894073094383]}",03:21:00
145,,unbanded,,Not banded,Adult,,8442,adult,False,,4030,2019-09-09,"{'type': 'Point', 'coordinates': [168.00660511827078, -44.771377654947024]}",13:30:00
146,,unbanded,,Not banded,,,8410,,False,,4018,2019-09-09,"{'type': 'Point', 'coordinates': [0.0, 0.0]}",08:45:00
147,,unbanded,,Not banded,Juvenile,,8377,juvenile,False,,4001,2019-09-08,"{'type': 'Point', 'coordinates': [167.93804289204803, -44.67752016838132]}",10:45:00
148,,unbanded,,Not banded,Adult,Female,8376,adult,False,female,4000,2019-09-08,"{'type': 'Point', 'coordinates': [170.07535687941078, -43.71485897449489]}",08:45:00
149,,unbanded,,Not banded,Adult,Male,8375,adult,False,male,4000,2019-09-08,"{'type': 'Point', 'coordinates': [170.07535687941078, -43.71485897449489]}",08:45:00
150,,unbanded,,Not banded,Sub-Adult,,8381,sub-adult,False,,4004,2019-09-07,"{'type': 'Point', 'coordinates': [171.57934542222284, -42.90811147175001]}",17:39:00
151,,unbanded,,Not banded,,,8373,,False,,3997,2019-09-07,"{'type': 'Point', 'coordinates': [-45.009825, 68.634529]}",15:00:00
152,two silver and one silver,unreadable,,"Banded, unreadable",,,8374,,False,,3999,2019-09-07,"{'type': 'Point', 'coordinates': [171.55665400572917, -42.887868349422305]}",13:30:00
153,Black b on light blue,readable,,"Banded, readable",Adult,,8366,adult,False,,3992,2019-09-07,"{'type': 'Point', 'coordinates': [171.56126387411126, -42.9390033958808]}",11:31:00
154,,unbanded,,Not banded,Adult,,8384,adult,False,,4007,2019-09-07,"{'type': 'Point', 'coordinates': [171.6430057680563, -43.2738637479887]}",10:00:00
155,,unbanded,,Not banded,Adult,,8386,adult,False,,4007,2019-09-07,"{'type': 'Point', 'coordinates': [171.6430057680563, -43.2738637479887]}",10:00:00
156,,unbanded,,Not banded,Adult,,8385,adult,False,,4007,2019-09-07,"{'type': 'Point', 'coordinates': [171.6430057680563, -43.2738637479887]}",10:00:00
157,,unknown,,Couldn't tell,Sub-Adult,,8372,sub-adult,False,,3996,2019-09-07,"{'type': 'Point', 'coordinates': [171.69171989728534, -43.286877697170056]}",04:00:00
158,AZ,readable,,"Banded, readable",,,8383,,False,,4006,2019-09-07,"{'type': 'Point', 'coordinates': [171.64307618125963, -43.273219037039745]}",02:00:00
159,white v on red,readable,,"Banded, readable",,,8406,,False,,4017,2019-09-06,"{'type': 'Point', 'coordinates': [167.95, -44.722]}",15:10:00
