,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
11,White A on Orange,"This adult male is often seen with a bunch of others around the village - the group consists mainly of adult males and fledgling and juvenile males with a couple of juvenile females. For much of the year we won't encounter adult females because they'll be away looking after eggs/chicks on the nest.

This kea is named after Asher—a boy who lives in Arthur's Pass village, in fact one of only four children that live there! Asher's mum and dad are highly active in conservation, are members of the Arthur's Pass Wildlife Trust and dedicate a lot of their time to trapping, weeding and APWT admin. They come and help out with kea conservation work whenever they can and Asher and his brother Kester (who also has a kea named after him) are learning all about kea conservation in their spare time. 

Arthur's Pass Wildlife Trust play a significant role in kea conservation and advocacy work as well as working hard to protect a range of other species.",False,https://media.keadatabase.nz/media/birds/asher/Grassland_kea.jpg,https://media.keadatabase.nz/media/__sized__/birds/asher/Grassland_kea-crop-c0-46__0-33-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/asher/Grassland_kea-crop-c0-46__0-33-350x250-70.jpg,Laura Young,Arthur's Pass Wildlife Trust,http://apwt.org.nz/,2013-01-01,2018-10-12T12:29:25+13:00,2018-10-12T12:29:25.762032+13:00,6,Adult,Asher,V-2614,Male,asher,Alive,Waimakariri,"['white', 'orange']",2018-10-01,,new,['A']
12,Black S on Yellow,Aspiring was banded at French Ridge Hut by Corey Mosen in January 2017. She had a transmitter attached and has been tracked on several occasions. The transmitter will give off a faster signal (40 beeps per minute) once she starts nesting. Field workers will then be able to track down her nest cavity to determine how successful her breeding is and whether or not her nest is attacked by stoats or cats.,False,https://media.keadatabase.nz/media/birds/aspiring/Aspiring.jpg,https://media.keadatabase.nz/media/__sized__/birds/aspiring/Aspiring-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/aspiring/Aspiring-crop-c0-5__0-5-350x250-70.jpg,Whitney Hanby,,,2013-01-01,2017-06-28T00:21:36.769876+12:00,2018-04-04T11:00:22.335603+12:00,6,Adult,Aspiring,V-2698,Female,aspiring,Alive,Wanaka,"['yellow', 'black']",2017-01-23,,new,['S']
13,Yellow : on Blue,Atawhai (age 17) was walking the length of New Zealand during the summer of 2016/2017 and met up with the Kea Team who were working at Arthur's Pass. The team were busy on a roof replacing lead nails and flashings and enlisted Atawhai's help. He quickly became a valuable team member and helped catch and band a few kea later that day. He is the youngest person to walk the Te Araroa trail across NZ and the team named the kea that Atawhai caught after him.,False,https://media.keadatabase.nz/media/birds/atawhai/Atawhai17March2017b.JPG,https://media.keadatabase.nz/media/__sized__/birds/atawhai/Atawhai17March2017b-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/atawhai/Atawhai17March2017b-crop-c0-5__0-5-350x250-70.JPG,Atawhai Charteris,,,2017-01-01,2017-06-28T00:21:37.435744+12:00,2018-04-04T11:00:22.383702+12:00,2,Sub-Adult,Atawhai,V-1334,Undetermined,atawhai,Alive,Waimakariri,"['yellow', 'blue']",2017-03-17,,new,[':']
14,Red A7 on White,"This kea was caught and banded at Monkey Creek in August 2019.  He is named after Athol Whimp who was widely regarded as the most accomplished alpinist in New Zealand’s modern era. He is the country’s only recipient of the prestigious Piolet d’Or international award for mountaineering. He was in the NZ SAS and following his career there he climbed extensively in NZ, Australia and the Himalaya.  On the 23rd February 2012, Athol died from a fall while traversing non-technical terrain above Homer Tunnel in the Darran Mountains.",False,https://media.keadatabase.nz/media/birds/athol/Athol_at_Monkey_Creek_Wei_Chean.jpg,https://media.keadatabase.nz/media/__sized__/birds/athol/Athol_at_Monkey_Creek_Wei_Chean-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/athol/Athol_at_Monkey_Creek_Wei_Chean-crop-c0-5__0-5-350x250-70.jpg,Wei Chean,,,2019-01-01,2019-09-11T17:40:12+12:00,2019-09-11T17:40:16.072831+12:00,0,Fledgling,Athol,V-3153,Male,athol,Alive,Fiordland,"['red', 'white']",2019-08-18,,new,['A7']
15,Black 3 on Light Blue,"Aunty Bell was banded as a juvenile in Arthur's Pass township by Mark and Kate in March 2018. Looking on was Mike Vincent a keen birder from the North Island, who then agreed to name and sponsor the kea. He and his partner Helen, spend time at Miranda, on the Firth of Thames, banding shorebirds.
Aunty Bell is named after ""an old labrador who lives down the road. She has a good nature but does get up to mischief and steals food. She was most likely a kea in a previous life."" 
Kea's mischievous behaviour is a result of their very high intelligence and their desire to investigate everything new. Unfortunately it does get them into trouble.",False,https://media.keadatabase.nz/media/birds/aunty-bell/Aunty_Bell1.jpg,https://media.keadatabase.nz/media/__sized__/birds/aunty-bell/Aunty_Bell1-crop-c0-27__0-36-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/aunty-bell/Aunty_Bell1-crop-c0-27__0-36-350x250-70.jpg,Mike Vincent,Mike Vincent,,2017-01-01,2018-03-12T14:31:28+13:00,2018-04-04T11:00:22.451813+12:00,2,Sub-Adult,Aunty Bell,V-2192,Female,aunty-bell,Alive,Waimakariri,"['black', 'lightblue']",2018-03-09,,new,['3']
16,Yellow R on Black,"Named after a little boy from Christchurch who visited Arthur's Pass with his parents and his sister Valerie (who also has a kea named after her). Valerie and Ayden were going to go back to school and tell their friends and teachers about their kea, raise interest and awareness and hopefully get the school to fundraise towards saving the kea.",False,https://media.keadatabase.nz/media/birds/ayden/Ayden_AP_kea_flg_Oct_2017.jpeg,https://media.keadatabase.nz/media/__sized__/birds/ayden/Ayden_AP_kea_flg_Oct_2017-crop-c0-5__0-5-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/ayden/Ayden_AP_kea_flg_Oct_2017-crop-c0-5__0-5-350x250-70.jpeg,Laura Young,,,2017-01-01,2017-12-07T16:07:23+13:00,2018-04-04T11:00:22.547300+12:00,2,Sub-Adult,Ayden,V-2611,Male,ayden,Alive,Waimakariri,"['yellow', 'black']",2017-10-04,,new,['R']
17,White V on Green,"Barff was banded at French Ridge Hut in January 2017 by Corey Mosen.  We can tell he is a male by the length of his beak ( > 45mm) and size of his head ( > 65mm), which were measured when he was banded. Adults males are also heavier than females with females usually being under 800g whereas males can be over 1kg.",False,https://media.keadatabase.nz/media/birds/barff/Barff.jpg,https://media.keadatabase.nz/media/__sized__/birds/barff/Barff-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/barff/Barff-crop-c0-5__0-5-350x250-70.jpg,Whitney Hanby,,,2013-01-01,2017-06-28T00:21:36.804026+12:00,2018-04-04T11:00:22.733041+12:00,6,Adult,Barff,V-2693,Male,barff,Alive,Wanaka,"['white', 'green']",2017-01-24,,new,['V']
18,Black D on White,"Basso was banded as a fledgling at French Ridge Hut in November 2017 by Tom Goodman.  
Juvenile kea move around in groups  and will  cover quite a large range.  When they become adults (4 years), they find a partner and a nest cavity to raise chicks and usually stay within 7km of that site.",False,https://media.keadatabase.nz/media/birds/basso/Basso.png,https://media.keadatabase.nz/media/__sized__/birds/basso/Basso-crop-c0-34__0-38-500x500.png,https://media.keadatabase.nz/media/__sized__/birds/basso/Basso-crop-c0-34__0-38-350x250.png,Joseph Bliss,,,2017-01-01,2018-04-04T11:00:22.775702+12:00,2018-04-04T11:00:22.784288+12:00,2,Sub-Adult,Basso,V-0713,Male,basso,Alive,Wanaka,"['white', 'black']",2017-11-01,,new,['D']
20,Yellow U on Blue,"Beryl was first caught and banded by Laura Young on the summer 2012 Hawdon kea survey. Beryl was named after one of the volunteers (Renny) mother who had just passed away. Beryl was fitted with a  transmitter and her cavity has been tracked to near Hawdon Hut. Her cavity has been regularly monitored and in 2017 she successfully fledged a chick.

Because she was an adult female, a transmitter was attached so she could be followed (along with others in the valley) to understand what kea breeding success is like, what the threats to kea are and much more (ongoing work by DOC and KCT, carried out by the kea team).

August 2017 update: Draco (https://keadatabase.nz/birds/draco) has been detected on the trail camera, hanging out in Beryl's cavity. Could he be responsible for fertilising the eggs she has just laid? Or is he just a casual visitor or even one of her offspring from a previous year? Stay tuned as we learn more information over the course of the breeding season in the Hawdon Valley. 

With the power of remote, non-invasive tools like trail cameras, we can learn a lot.",False,https://media.keadatabase.nz/media/birds/beryl/BerylBrood2Oct2012.JPG,https://media.keadatabase.nz/media/__sized__/birds/beryl/BerylBrood2Oct2012-crop-c0-24__0-43-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/beryl/BerylBrood2Oct2012-crop-c0-24__0-43-350x250-70.JPG,Trail camera,,,2009-01-01,2017-06-28T00:21:17.848338+12:00,2018-04-04T11:00:23.098157+12:00,10,Adult,Beryl,V-1516,Female,beryl,Alive,Waimakariri,"['yellow', 'blue']",2012-01-20,,new,['U']
21,Pink / x - x / x,"Blofeld is named after the famous James Bond villain. He is a young male kea and part of the inquisitive group that check out all visitors to Willowbank. He is quite a bossy bird and always wants to be the first in line, when it comes to destroying the carefully build research apparatus'. So he is always the one where everything needs to be built 'kea proof'.",False,https://media.keadatabase.nz/media/birds/blofeld/Blofeld01.JPG,https://media.keadatabase.nz/media/__sized__/birds/blofeld/Blofeld01-crop-c0-52__0-29-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/blofeld/Blofeld01-crop-c0-52__0-29-350x250-70.JPG,Mark Brabyn,,,2013-08-22,2017-10-13T11:12:25+13:00,2017-10-13T11:12:26.821827+13:00,6,Adult,Blofeld,,Male,blofeld,Alive,Willowbank,['pink'],2017-10-13,,old,[]
22,Yellow T on Blue,"Blue lives at Orana Wildlife Park in Christchurch. He is the mate of Pūihi, and the dad of Tiki, Arthur, Lewis, and Holly.
One of his favourite foods is beetroot and he can often be seen running around with bright purple beetroot stains down his chest.
He enjoys showing off how tough he is by tossing pinecones around and breaking branches off trees.
Blue plays an important role in conservation advocacy, educating visitors on appropriate behavior around his wild cousins, such as never feeding kea human food.",False,https://media.keadatabase.nz/media/birds/blue/blue02.jpg,https://media.keadatabase.nz/media/__sized__/birds/blue/blue02-crop-c0-49__0-21-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/blue/blue02-crop-c0-49__0-21-350x250-70.jpg,Orana Park,,,1990-06-13,2017-10-13T11:16:02+13:00,2017-10-13T11:16:03.407299+13:00,29,Adult,Blue,,Male,blue,Alive,Orana Park,"['yellow', 'blue']",2017-09-07,,new,['T']
23,Yellow --- on Blue,Boh is often busy carrying nesting material around the aviary. She is a shy bird and may be seen high in the trees near the bushy bank by the river in the Willowbank kea aviary.,False,https://media.keadatabase.nz/media/birds/boh/Boh01.JPG,https://media.keadatabase.nz/media/__sized__/birds/boh/Boh01-crop-c0-0__-0-0-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/boh/Boh01-crop-c0-0__-0-0-350x250-70.JPG,Mark Brabyn,,,2012-09-28,2017-10-13T11:11:38+13:00,2017-10-13T11:11:39.512525+13:00,6,Adult,Boh,,Female,boh,Alive,Willowbank,"['blue', 'yellow']",2017-10-13,,new,[]
24,White V on Red,"Branches was banded in 2013 by Paul van Klink.

He is sometimes seen near the Milford Sound road.",False,https://media.keadatabase.nz/media/birds/branches/IMG_3992.JPG,https://media.keadatabase.nz/media/__sized__/birds/branches/IMG_3992-crop-c0-61__0-58-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/branches/IMG_3992-crop-c0-61__0-58-350x250-70.JPG,Leanne Haywood,,,2009-01-01,2017-06-28T00:21:18.289978+12:00,2018-04-04T11:00:23.882987+12:00,10,Adult,Branches,V-2227,Male,branches,Alive,Fiordland,"['white', 'red']",2013-07-23,,new,['V']
25,Black 9 on Light Blue,"Byron the Bird. This noble bird is having a happy life in New Zealand.

Byron was banded as an fledgling at Arthur's Pass Township in February 2019.",False,https://media.keadatabase.nz/media/birds/byron/bk9.jpg,https://media.keadatabase.nz/media/__sized__/birds/byron/bk9-crop-c0-62__0-4-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/byron/bk9-crop-c0-62__0-4-350x250-70.jpg,George Moon,Anonymous Donor,,2019-01-01,2019-04-24T16:46:21+12:00,2019-08-18T01:52:43.288185+12:00,0,Fledgling,Byron,V-0764,Male,byron,Alive,Waimakariri,"['black', 'lightblue']",2019-02-06,,new,['9']
26,Black AK on White,"Cam is a cheeky young kea, seen hanging out in a group of at least 7 other cheeky kea in Arthur's Pass village. Being a young bird, he's not likely to hang around in the area for too long, so keep your eye out for if he and his mates show up at other various mountain environs so we can see how far and wide they go! 

Cam kea is named after Cam, the kea kaitiaki at Mt Cook who has helped out on the kea sightings project for a while and keeps a good eye on the Aoraki/Mt Cook flock.",False,https://media.keadatabase.nz/media/birds/cam/Second_clutch_kea_babies_Hawdon_Hut.jpg,https://media.keadatabase.nz/media/__sized__/birds/cam/Second_clutch_kea_babies_Hawdon_Hut-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/cam/Second_clutch_kea_babies_Hawdon_Hut-crop-c0-5__0-5-350x250-70.jpg,Cath Snelling,,,2019-01-01,2019-08-01T14:44:52+12:00,2019-08-01T14:44:56.660796+12:00,0,Fledgling,Cam,V-3250,Male,cam,Alive,Waimakariri,"['black', 'white']",2019-07-25,,new,['AK']
27,White 2 on Black,"Captain Beaver was banded in Arthur's Pass township in October 2017 by Mark and Graeme.

The naming of the kea was a Christmas gift by the sponsor to a relative who is 90. She named him  after her grandfather who was captain of the royal yacht in Queen Victoria’s time. The family have a bach in Arthur's Pass.",False,https://media.keadatabase.nz/media/birds/captain-beaver/White2onBlack.jpeg,https://media.keadatabase.nz/media/__sized__/birds/captain-beaver/White2onBlack-crop-c0-38__0-37-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/captain-beaver/White2onBlack-crop-c0-38__0-37-350x250-70.jpeg,Mark Brabyn,Geraldine Trevella,,2014-01-01,2018-01-12T10:45:23+13:00,2018-04-04T11:00:24.862772+12:00,5,Adult,Captain Beaver,V-2524,Male,captain-beaver,Alive,Waimakariri,"['white', 'black']",2017-10-16,,new,['2']
28,White T on Green,"Captain Sanderson was banded as a sub-adult in Arthur's Pass township in October 2016 by Laura Young and Mark Brabyn, the founders of the Kea Sighting Project. 

In 1923, Captain Ernest Valentine Sanderson founded the 'New Zealand Native Bird Protection Society', which in 1935 was renamed 'Forest and Bird Protection Society of New Zealand'.

Fast-forward to this day and Forest & Bird continues to flourish as one of New Zealand's strongest conservation organisations.

Unsurprisingly, Forest & Bird North Canterbury thought 'Captain Sanderson' was a fitting name for a kea!

Captain Sanderson is affectionately co-sponsored by Jordan Manek and Amanda Jill following an unforgettable encounter with this kea in Arthur's Pass that sparked an immense and lasting appreciation for the clowns of the mountains.",False,https://media.keadatabase.nz/media/birds/captain-sanderson/Captain_Sanderson.JPG,https://media.keadatabase.nz/media/__sized__/birds/captain-sanderson/Captain_Sanderson-crop-c0-58__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/captain-sanderson/Captain_Sanderson-crop-c0-58__0-5-350x250-70.JPG,Amanda Jill,Forest & Bird (North Canterbury),http://forestandbird.org.nz/,2014-01-01,2017-06-28T00:21:18+12:00,2018-04-04T11:00:24.891201+12:00,5,Adult,Captain Sanderson,V-1517,Male,captain-sanderson,Alive,Waimakariri,"['white', 'green']",2016-10-16,,new,['T']
29,White S on Blue,"Carlos was banded in June 2018 as a fledgling in Arthur's Pass by Mark and Kate.

The Villa Maria students wrote the following about the kea they sponsored:

We named our kea Carlos because the name means King (of Spain) as well as manly, strong, funny, cute and nice. 10M from Villa Maria (2018) has been learning about Aotearoa's land and it's animals which lead us to talk about kea. To raise this money we did a Jellybean Raffle for a week with $1 per entry. While doing this project we learnt the following about kea.
- Kea are extremely intelligent birds.
- Kea are endemic to New Zealand and are the world's only alpine parrot.
- Kea are very sociable and cheeky birds and often referred to as the ""clown of the mountains""
- The kea used to be on the New Zealand $10 note from 1967 to 1992 but was replaced by the whio in 1992.

We hope you find our bird amazing and help support the 'Kea Sightings Project.'",False,https://media.keadatabase.nz/media/birds/carlos/Carlos2.JPG,https://media.keadatabase.nz/media/__sized__/birds/carlos/Carlos2-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/carlos/Carlos2-crop-c0-5__0-5-350x250-70.JPG,Mark Brabyn,Villa Maria College,http://www.villa.school.nz/,2018-01-01,2018-08-21T16:58:11+12:00,2018-08-21T17:01:45.514823+12:00,1,Juvenile,Carlos,V-2182,Male,carlos,Alive,Waimakariri,"['white', 'blue']",2018-06-01,,new,['S']
30,Yellow J on Blue,"Cassidy was banded in Arthur's Pass village in October 2016 by Mark and Martina. She is one of the resident adult females and almost certainly has a nest cavity in the beech forest above the village.

She is named after Laura Young's daughter, who was just a baby at the time, and often comes along to Arthur's Pass with her mum to band kea. Laura is the co-founder of the Kea Sightings Project.",False,https://media.keadatabase.nz/media/birds/cassidy/Cassidy.jpeg,https://media.keadatabase.nz/media/__sized__/birds/cassidy/Cassidy-crop-c0-5__0-5-500x500-70.jpeg,https://media.keadatabase.nz/media/__sized__/birds/cassidy/Cassidy-crop-c0-5__0-5-350x250-70.jpeg,Kate Le Comte,,,2013-01-01,2017-06-28T00:21:37.375824+12:00,2018-04-04T11:00:25.005436+12:00,6,Adult,Cassidy,V-1688,Female,cassidy,Alive,Waimakariri,"['yellow', 'blue']",2016-10-16,,new,['J']
31,White G on Red,Catherine was banded as an adult in July 2013 at Broken River Ski Field by Lucy Rossiter. It is quite likely she is the mother of some of the juveniles seen in a big group (15) in Arthur's Pass  on the 30 August 2017.,False,https://media.keadatabase.nz/media/birds/catherine/P1030519.JPG,https://media.keadatabase.nz/media/__sized__/birds/catherine/P1030519-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/catherine/P1030519-crop-c0-5__0-5-350x250-70.JPG,Mark Brabyn,,,2009-01-01,2017-06-28T00:21:19.059382+12:00,2018-04-04T11:00:25.065094+12:00,10,Adult,Catherine,V-2329,Female,catherine,Alive,Waimakariri,"['white', 'red']",2013-07-29,,new,['G']
